�	NULL (U+0000)	00
𐞥	MODIFIER LETTER SMALL Q (U+107A5)	f0909ea5
𐞦	MODIFIER LETTER SMALL TURNED R WITH LONG LEG (U+107A6)	f0909ea6
𐞧	MODIFIER LETTER SMALL TURNED R WITH LONG LEG AND RETROFLEX HOOK (U+107A7)	f0909ea7
𐞨	MODIFIER LETTER SMALL R WITH TAIL (U+107A8)	f0909ea8
𐞩	MODIFIER LETTER SMALL R WITH FISHHOOK (U+107A9)	f0909ea9
𐞪	MODIFIER LETTER SMALL CAPITAL R (U+107AA)	f0909eaa
𐞫	MODIFIER LETTER SMALL TC DIGRAPH WITH CURL (U+107AB)	f0909eab
𐞬	MODIFIER LETTER SMALL TS DIGRAPH (U+107AC)	f0909eac
𐞭	MODIFIER LETTER SMALL TS DIGRAPH WITH RETROFLEX HOOK (U+107AD)	f0909ead
𐞮	MODIFIER LETTER SMALL TESH DIGRAPH (U+107AE)	f0909eae
𐞯	MODIFIER LETTER SMALL T WITH RETROFLEX HOOK (U+107AF)	f0909eaf
𐞰	MODIFIER LETTER SMALL V WITH RIGHT HOOK (U+107B0)	f0909eb0
𐞲	MODIFIER LETTER SMALL CAPITAL Y (U+107B2)	f0909eb2
𐞳	MODIFIER LETTER GLOTTAL STOP WITH STROKE (U+107B3)	f0909eb3
𐞴	MODIFIER LETTER REVERSED GLOTTAL STOP WITH STROKE (U+107B4)	f0909eb4
𐞵	MODIFIER LETTER BILABIAL CLICK (U+107B5)	f0909eb5
𐞶	MODIFIER LETTER DENTAL CLICK (U+107B6)	f0909eb6
𐞷	MODIFIER LETTER LATERAL CLICK (U+107B7)	f0909eb7
𐞸	MODIFIER LETTER ALVEOLAR CLICK (U+107B8)	f0909eb8
𐞹	MODIFIER LETTER RETROFLEX CLICK WITH RETROFLEX HOOK (U+107B9)	f0909eb9
𐞺	MODIFIER LETTER SMALL S WITH CURL (U+107BA)	f0909eba
𐠀	CYPRIOT SYLLABLE A (U+10800)	f090a080
𐠁	CYPRIOT SYLLABLE E (U+10801)	f090a081
𐠂	CYPRIOT SYLLABLE I (U+10802)	f090a082
𐠃	CYPRIOT SYLLABLE O (U+10803)	f090a083
𐠄	CYPRIOT SYLLABLE U (U+10804)	f090a084
𐠅	CYPRIOT SYLLABLE JA (U+10805)	f090a085
𐠈	CYPRIOT SYLLABLE JO (U+10808)	f090a088
𐠊	CYPRIOT SYLLABLE KA (U+1080A)	f090a08a
𐠋	CYPRIOT SYLLABLE KE (U+1080B)	f090a08b
𐠌	CYPRIOT SYLLABLE KI (U+1080C)	f090a08c
𐠍	CYPRIOT SYLLABLE KO (U+1080D)	f090a08d
𐠎	CYPRIOT SYLLABLE KU (U+1080E)	f090a08e
𐠏	CYPRIOT SYLLABLE LA (U+1080F)	f090a08f
𐠐	CYPRIOT SYLLABLE LE (U+10810)	f090a090
𐠑	CYPRIOT SYLLABLE LI (U+10811)	f090a091
𐠒	CYPRIOT SYLLABLE LO (U+10812)	f090a092
𐠓	CYPRIOT SYLLABLE LU (U+10813)	f090a093
𐠔	CYPRIOT SYLLABLE MA (U+10814)	f090a094
𐠕	CYPRIOT SYLLABLE ME (U+10815)	f090a095
𐠖	CYPRIOT SYLLABLE MI (U+10816)	f090a096
𐠗	CYPRIOT SYLLABLE MO (U+10817)	f090a097
𐠘	CYPRIOT SYLLABLE MU (U+10818)	f090a098
𐠙	CYPRIOT SYLLABLE NA (U+10819)	f090a099
𐠚	CYPRIOT SYLLABLE NE (U+1081A)	f090a09a
𐠛	CYPRIOT SYLLABLE NI (U+1081B)	f090a09b
𐠜	CYPRIOT SYLLABLE NO (U+1081C)	f090a09c
𐠝	CYPRIOT SYLLABLE NU (U+1081D)	f090a09d
𐠞	CYPRIOT SYLLABLE PA (U+1081E)	f090a09e
𐠟	CYPRIOT SYLLABLE PE (U+1081F)	f090a09f
𐠠	CYPRIOT SYLLABLE PI (U+10820)	f090a0a0
𐠡	CYPRIOT SYLLABLE PO (U+10821)	f090a0a1
𐠢	CYPRIOT SYLLABLE PU (U+10822)	f090a0a2
𐠣	CYPRIOT SYLLABLE RA (U+10823)	f090a0a3
𐠤	CYPRIOT SYLLABLE RE (U+10824)	f090a0a4
𐠥	CYPRIOT SYLLABLE RI (U+10825)	f090a0a5
𐠦	CYPRIOT SYLLABLE RO (U+10826)	f090a0a6
𐠧	CYPRIOT SYLLABLE RU (U+10827)	f090a0a7
𐠨	CYPRIOT SYLLABLE SA (U+10828)	f090a0a8
𐠩	CYPRIOT SYLLABLE SE (U+10829)	f090a0a9
𐠪	CYPRIOT SYLLABLE SI (U+1082A)	f090a0aa
𐠫	CYPRIOT SYLLABLE SO (U+1082B)	f090a0ab
𐠬	CYPRIOT SYLLABLE SU (U+1082C)
𐠭	CYPRIOT SYLLABLE TA (U+1082D)	f090a0ad
𐠮	CYPRIOT SYLLABLE TE (U+1082E)	f090a0ae
𐠯	CYPRIOT SYLLABLE TI (U+1082F)	f090a0af
𐠰	CYPRIOT SYLLABLE TO (U+10830)	f090a0b0
𐠱	CYPRIOT SYLLABLE TU (U+10831)	f090a0b1
𐠲	CYPRIOT SYLLABLE WA (U+10832)	f090a0b2
𐠳	CYPRIOT SYLLABLE WE (U+10833)	f090a0b3
𐠴	CYPRIOT SYLLABLE WI (U+10834)	f090a0b4
𐠵	CYPRIOT SYLLABLE WO (U+10835)	f090a0b5
𐠷	CYPRIOT SYLLABLE XA (U+10837)	f090a0b7
𐠸	CYPRIOT SYLLABLE XE (U+10838)	f090a0b8
𐠼	CYPRIOT SYLLABLE ZA (U+1083C)	f090a0bc
𐠿	CYPRIOT SYLLABLE ZO (U+1083F)	f090a0bf
𐡀	IMPERIAL ARAMAIC LETTER ALEPH (U+10840)	f090a180
𐡁	IMPERIAL ARAMAIC LETTER BETH (U+10841)	f090a181
𐡂	IMPERIAL ARAMAIC LETTER GIMEL (U+10842)	f090a182
𐡃	IMPERIAL ARAMAIC LETTER DALETH (U+10843)	f090a183
𐡄	IMPERIAL ARAMAIC LETTER HE (U+10844)	f090a184
𐡅	IMPERIAL ARAMAIC LETTER WAW (U+10845)	f090a185
𐡆	IMPERIAL ARAMAIC LETTER ZAYIN (U+10846)	f090a186
𐡇	IMPERIAL ARAMAIC LETTER HETH (U+10847)	f090a187
𐡈	IMPERIAL ARAMAIC LETTER TETH (U+10848)	f090a188
𐡉	IMPERIAL ARAMAIC LETTER YODH (U+10849)	f090a189
𐡊	IMPERIAL ARAMAIC LETTER KAPH (U+1084A)	f090a18a
𐡋	IMPERIAL ARAMAIC LETTER LAMEDH (U+1084B)	f090a18b
𐡌	IMPERIAL ARAMAIC LETTER MEM (U+1084C)	f090a18c
𐡍	IMPERIAL ARAMAIC LETTER NUN (U+1084D)	f090a18d
𐡎	IMPERIAL ARAMAIC LETTER SAMEKH (U+1084E)	f090a18e
𐡏	IMPERIAL ARAMAIC LETTER AYIN (U+1084F)	f090a18f
𐡐	IMPERIAL ARAMAIC LETTER PE (U+10850)	f090a190
𐡑	IMPERIAL ARAMAIC LETTER SADHE (U+10851)	f090a191
𐡒	IMPERIAL ARAMAIC LETTER QOPH (U+10852)	f090a192
𐡓	IMPERIAL ARAMAIC LETTER RESH (U+10853)	f090a193
𐡔	IMPERIAL ARAMAIC LETTER SHIN (U+10854)	f090a194
𐡕	IMPERIAL ARAMAIC LETTER TAW (U+10855)	f090a195
𐡗	IMPERIAL ARAMAIC SECTION SIGN (U+10857)	f090a197
𐡘	IMPERIAL ARAMAIC NUMBER ONE (U+10858)	f090a198
𐡙	IMPERIAL ARAMAIC NUMBER TWO (U+10859)	f090a199
𐡚	IMPERIAL ARAMAIC NUMBER THREE (U+1085A)	f090a19a
𐡛	IMPERIAL ARAMAIC NUMBER TEN (U+1085B)	f090a19b
𐡜	IMPERIAL ARAMAIC NUMBER TWENTY (U+1085C)	f090a19c
𐡝	IMPERIAL ARAMAIC NUMBER ONE HUNDRED (U+1085D)	f090a19d
𐡞	IMPERIAL ARAMAIC NUMBER ONE THOUSAND (U+1085E)	f090a19e
𐡟	IMPERIAL ARAMAIC NUMBER TEN THOUSAND (U+1085F)	f090a19f
𐡠	PALMYRENE LETTER ALEPH (U+10860)	f090a1a0
𐡡	PALMYRENE LETTER BETH (U+10861)	f090a1a1
𐡢	PALMYRENE LETTER GIMEL (U+10862)	f090a1a2
𐡣	PALMYRENE LETTER DALETH (U+10863)	f090a1a3
𐡤	PALMYRENE LETTER HE (U+10864)	f090a1a4
𐡥	PALMYRENE LETTER WAW (U+10865)	f090a1a5
𐡦	PALMYRENE LETTER ZAYIN (U+10866)	f090a1a6
𐡧	PALMYRENE LETTER HETH (U+10867)	f090a1a7
𐡨	PALMYRENE LETTER TETH (U+10868)	f090a1a8
𐡩	PALMYRENE LETTER YODH (U+10869)	f090a1a9
𐡪	PALMYRENE LETTER KAPH (U+1086A)	f090a1aa
𐡫	PALMYRENE LETTER LAMEDH (U+1086B)	f090a1ab
𐡬	PALMYRENE LETTER MEM (U+1086C)	f090a1ac
𐡭	PALMYRENE LETTER FINAL NUN (U+1086D)	f090a1ad
𐡮	PALMYRENE LETTER NUN (U+1086E)	f090a1ae
𐡯	PALMYRENE LETTER SAMEKH (U+1086F)	f090a1af
𐡰	PALMYRENE LETTER AYIN (U+10870)	f090a1b0
𐡱	PALMYRENE LETTER PE (U+10871)	f090a1b1
𐡲	PALMYRENE LETTER SADHE (U+10872)	f090a1b2
𐡳	PALMYRENE LETTER QOPH (U+10873)	f090a1b3
𐡴	PALMYRENE LETTER RESH (U+10874)	f090a1b4
𐡵	PALMYRENE LETTER SHIN (U+10875)	f090a1b5
𐡶	PALMYRENE LETTER TAW (U+10876)	f090a1b6
𐡷	PALMYRENE LEFT-POINTING FLEURON (U+10877)	f090a1b7
𐡸	PALMYRENE RIGHT-POINTING FLEURON (U+10878)	f090a1b8
𐡹	PALMYRENE NUMBER ONE (U+10879)	f090a1b9
𐡺	PALMYRENE NUMBER TWO (U+1087A)	f090a1ba
𐡻	PALMYRENE NUMBER THREE (U+1087B)	f090a1bb
𐡼	PALMYRENE NUMBER FOUR (U+1087C)	f090a1bc
𐡽	PALMYRENE NUMBER FIVE (U+1087D)	f090a1bd
𐡾	PALMYRENE NUMBER TEN (U+1087E)	f090a1be
𐡿	PALMYRENE NUMBER TWENTY (U+1087F)	f090a1bf
𐢀	NABATAEAN LETTER FINAL ALEPH (U+10880)	f090a280
𐢁	NABATAEAN LETTER ALEPH (U+10881)	f090a281
𐢂	NABATAEAN LETTER FINAL BETH (U+10882)	f090a282
𐢃	NABATAEAN LETTER BETH (U+10883)	f090a283
𐢄	NABATAEAN LETTER GIMEL (U+10884)	f090a284
𐢅	NABATAEAN LETTER DALETH (U+10885)	f090a285
𐢆	NABATAEAN LETTER FINAL HE (U+10886)	f090a286
𐢇	NABATAEAN LETTER HE (U+10887)	f090a287
𐢈	NABATAEAN LETTER WAW (U+10888)	f090a288
𐢉	NABATAEAN LETTER ZAYIN (U+10889)	f090a289
𐢊	NABATAEAN LETTER HETH (U+1088A)	f090a28a
𐢋	NABATAEAN LETTER TETH (U+1088B)	f090a28b
𐢌	NABATAEAN LETTER FINAL YODH (U+1088C)	f090a28c
𐢍	NABATAEAN LETTER YODH (U+1088D)	f090a28d
𐢎	NABATAEAN LETTER FINAL KAPH (U+1088E)	f090a28e
𐢏	NABATAEAN LETTER KAPH (U+1088F)	f090a28f
𐢐	NABATAEAN LETTER FINAL LAMEDH (U+10890)	f090a290
𐢑	NABATAEAN LETTER LAMEDH (U+10891)	f090a291
𐢒	NABATAEAN LETTER FINAL MEM (U+10892)	f090a292
𐢓	NABATAEAN LETTER MEM (U+10893)	f090a293
𐢔	NABATAEAN LETTER FINAL NUN (U+10894)	f090a294
𐢕	NABATAEAN LETTER NUN (U+10895)	f090a295
𐢖	NABATAEAN LETTER SAMEKH (U+10896)	f090a296
𐢗	NABATAEAN LETTER AYIN (U+10897)	f090a297
𐢘	NABATAEAN LETTER PE (U+10898)	f090a298
𐢙	NABATAEAN LETTER SADHE (U+10899)	f090a299
𐢚	NABATAEAN LETTER QOPH (U+1089A)	f090a29a
𐢛	NABATAEAN LETTER RESH (U+1089B)	f090a29b
𐢜	NABATAEAN LETTER FINAL SHIN (U+1089C)	f090a29c
𐢝	NABATAEAN LETTER SHIN (U+1089D)	f090a29d
𐢞	NABATAEAN LETTER TAW (U+1089E)	f090a29e
𐢧	NABATAEAN NUMBER ONE (U+108A7)	f090a2a7
𐢨	NABATAEAN NUMBER TWO (U+108A8)	f090a2a8
𐢩	NABATAEAN NUMBER THREE (U+108A9)	f090a2a9
𐢪	NABATAEAN NUMBER FOUR (U+108AA)	f090a2aa
𐢫	NABATAEAN CRUCIFORM NUMBER FOUR (U+108AB)	f090a2ab
𐢬	NABATAEAN NUMBER FIVE (U+108AC)	f090a2ac
𐢭	NABATAEAN NUMBER TEN (U+108AD)	f090a2ad
𐢮	NABATAEAN NUMBER TWENTY (U+108AE)	f090a2ae
𐢯	NABATAEAN NUMBER ONE HUNDRED (U+108AF)	f090a2af
𐣠	HATRAN LETTER ALEPH (U+108E0)	f090a3a0
𐣡	HATRAN LETTER BETH (U+108E1)	f090a3a1
𐣢	HATRAN LETTER GIMEL (U+108E2)	f090a3a2
𐣣	HATRAN LETTER DALETH-RESH (U+108E3)	f090a3a3
𐣤	HATRAN LETTER HE (U+108E4)	f090a3a4
𐣥	HATRAN LETTER WAW (U+108E5)	f090a3a5
𐣦	HATRAN LETTER ZAYN (U+108E6)	f090a3a6
𐣧	HATRAN LETTER HETH (U+108E7)	f090a3a7
𐣨	HATRAN LETTER TETH (U+108E8)	f090a3a8
𐣩	HATRAN LETTER YODH (U+108E9)	f090a3a9
𐣪	HATRAN LETTER KAPH (U+108EA)	f090a3aa
𐣫	HATRAN LETTER LAMEDH (U+108EB)	f090a3ab
𐣬	HATRAN LETTER MEM (U+108EC)	f090a3ac
𐣭	HATRAN LETTER NUN (U+108ED)	f090a3ad
𐣮	HATRAN LETTER SAMEKH (U+108EE)	f090a3ae
𐣯	HATRAN LETTER AYN (U+108EF)	f090a3af
𐣰	HATRAN LETTER PE (U+108F0)	f090a3b0
𐣱	HATRAN LETTER SADHE (U+108F1)	f090a3b1
𐣲	HATRAN LETTER QOPH (U+108F2)	f090a3b2
𐣴	HATRAN LETTER SHIN (U+108F4)	f090a3b4
𐣵	HATRAN LETTER TAW (U+108F5)	f090a3b5
𐣻	HATRAN NUMBER ONE (U+108FB)	f090a3bb
𐣼	HATRAN NUMBER FIVE (U+108FC)	f090a3bc
𐣽	HATRAN NUMBER TEN (U+108FD)	f090a3bd
𐣾	HATRAN NUMBER TWENTY (U+108FE)	f090a3be
𐣿	HATRAN NUMBER ONE HUNDRED (U+108FF)	f090a3bf
𐤀	PHOENICIAN LETTER ALF (U+10900)	f090a480
𐤁	PHOENICIAN LETTER BET (U+10901)	f090a481
𐤂	PHOENICIAN LETTER GAML (U+10902)	f090a482
𐤃	PHOENICIAN LETTER DELT (U+10903)	f090a483
𐤄	PHOENICIAN LETTER HE (U+10904)	f090a484
𐤅	PHOENICIAN LETTER WAU (U+10905)	f090a485
𐤆	PHOENICIAN LETTER ZAI (U+10906)	f090a486
𐤇	PHOENICIAN LETTER HET (U+10907)	f090a487
𐤈	PHOENICIAN LETTER TET (U+10908)	f090a488
𐤉	PHOENICIAN LETTER YOD (U+10909)	f090a489
𐤊	PHOENICIAN LETTER KAF (U+1090A)	f090a48a
𐤋	PHOENICIAN LETTER LAMD (U+1090B)	f090a48b
𐤌	PHOENICIAN LETTER MEM (U+1090C)	f090a48c
𐤍	PHOENICIAN LETTER NUN (U+1090D)	f090a48d
𐤎	PHOENICIAN LETTER SEMK (U+1090E)	f090a48e
𐤏	PHOENICIAN LETTER AIN (U+1090F)	f090a48f
𐤐	PHOENICIAN LETTER PE (U+10910)	f090a490
𐤑	PHOENICIAN LETTER SADE (U+10911)	f090a491
𐤒	PHOENICIAN LETTER QOF (U+10912)	f090a492
𐤓	PHOENICIAN LETTER ROSH (U+10913)	f090a493
𐤔	PHOENICIAN LETTER SHIN (U+10914)	f090a494
𐤕	PHOENICIAN LETTER TAU (U+10915)	f090a495
𐤖	PHOENICIAN NUMBER ONE (U+10916)	f090a496
𐤗	PHOENICIAN NUMBER TEN (U+10917)	f090a497
𐤘	PHOENICIAN NUMBER TWENTY (U+10918)	f090a498
𐤙	PHOENICIAN NUMBER ONE HUNDRED (U+10919)	f090a499
𐤚	PHOENICIAN NUMBER TWO (U+1091A)	f090a49a
𐤛	PHOENICIAN NUMBER THREE (U+1091B)	f090a49b
𐤟	PHOENICIAN WORD SEPARATOR (U+1091F)	f090a49f
𐤠	LYDIAN LETTER A (U+10920)	f090a4a0
𐤡	LYDIAN LETTER B (U+10921)	f090a4a1
𐤢	LYDIAN LETTER G (U+10922)	f090a4a2
𐤣	LYDIAN LETTER D (U+10923)	f090a4a3
𐤤	LYDIAN LETTER E (U+10924)	f090a4a4
𐤥	LYDIAN LETTER V (U+10925)	f090a4a5
𐤦	LYDIAN LETTER I (U+10926)	f090a4a6
𐤧	LYDIAN LETTER Y (U+10927)	f090a4a7
𐤨	LYDIAN LETTER K (U+10928)	f090a4a8
𐤩	LYDIAN LETTER L (U+10929)	f090a4a9
𐤪	LYDIAN LETTER M (U+1092A)	f090a4aa
𐤫	LYDIAN LETTER N (U+1092B)	f090a4ab
𐤬	LYDIAN LETTER O (U+1092C)	f090a4ac
𐤭	LYDIAN LETTER R (U+1092D)	f090a4ad
𐤮	LYDIAN LETTER SS (U+1092E)	f090a4ae
𐤯	LYDIAN LETTER T (U+1092F)	f090a4af
𐤰	LYDIAN LETTER U (U+10930)	f090a4b0
𐤱	LYDIAN LETTER F (U+10931)	f090a4b1
𐤲	LYDIAN LETTER Q (U+10932)	f090a4b2
𐤳	LYDIAN LETTER S (U+10933)	f090a4b3
𐤴	LYDIAN LETTER TT (U+10934)	f090a4b4
𐤵	LYDIAN LETTER AN (U+10935)	f090a4b5
𐤶	LYDIAN LETTER EN (U+10936)	f090a4b6
𐤷	LYDIAN LETTER LY (U+10937)	f090a4b7
𐤸	LYDIAN LETTER NN (U+10938)	f090a4b8
𐤹	LYDIAN LETTER C (U+10939)	f090a4b9
𐤿	LYDIAN TRIANGULAR MARK (U+1093F)	f090a4bf
𐦀	MEROITIC HIEROGLYPHIC LETTER A (U+10980)	f090a680
𐦁	MEROITIC HIEROGLYPHIC LETTER E (U+10981)	f090a681
𐦂	MEROITIC HIEROGLYPHIC LETTER I (U+10982)	f090a682
𐦃	MEROITIC HIEROGLYPHIC LETTER O (U+10983)	f090a683
𐦄	MEROITIC HIEROGLYPHIC LETTER YA (U+10984)	f090a684
𐦅	MEROITIC HIEROGLYPHIC LETTER WA (U+10985)	f090a685
𐦆	MEROITIC HIEROGLYPHIC LETTER BA (U+10986)	f090a686
𐦇	MEROITIC HIEROGLYPHIC LETTER BA-2 (U+10987)	f090a687
𐦈	MEROITIC HIEROGLYPHIC LETTER PA (U+10988)	f090a688
𐦉	MEROITIC HIEROGLYPHIC LETTER MA (U+10989)	f090a689
𐦊	MEROITIC HIEROGLYPHIC LETTER NA (U+1098A)	f090a68a
𐦋	MEROITIC HIEROGLYPHIC LETTER NA-2 (U+1098B)	f090a68b
𐦌	MEROITIC HIEROGLYPHIC LETTER NE (U+1098C)	f090a68c
𐦍	MEROITIC HIEROGLYPHIC LETTER NE-2 (U+1098D)	f090a68d
𐦎	MEROITIC HIEROGLYPHIC LETTER RA (U+1098E)	f090a68e
𐦏	MEROITIC HIEROGLYPHIC LETTER RA-2 (U+1098F)	f090a68f
𐦐	MEROITIC HIEROGLYPHIC LETTER LA (U+10990)	f090a690
𐦑	MEROITIC HIEROGLYPHIC LETTER KHA (U+10991)	f090a691
𐦒	MEROITIC HIEROGLYPHIC LETTER HHA (U+10992)	f090a692
𐦓	MEROITIC HIEROGLYPHIC LETTER SA (U+10993)	f090a693
𐦔	MEROITIC HIEROGLYPHIC LETTER SA-2 (U+10994)	f090a694
𐦕	MEROITIC HIEROGLYPHIC LETTER SE (U+10995)	f090a695
𐦖	MEROITIC HIEROGLYPHIC LETTER KA (U+10996)	f090a696
𐦗	MEROITIC HIEROGLYPHIC LETTER QA (U+10997)	f090a697
𐦘	MEROITIC HIEROGLYPHIC LETTER TA (U+10998)	f090a698
𐦙	MEROITIC HIEROGLYPHIC LETTER TA-2 (U+10999)	f090a699
𐦚	MEROITIC HIEROGLYPHIC LETTER TE (U+1099A)	f090a69a
𐦛	MEROITIC HIEROGLYPHIC LETTER TE-2 (U+1099B)	f090a69b
𐦜	MEROITIC HIEROGLYPHIC LETTER TO (U+1099C)	f090a69c
𐦝	MEROITIC HIEROGLYPHIC LETTER DA (U+1099D)	f090a69d
𐦞	MEROITIC HIEROGLYPHIC SYMBOL VIDJ (U+1099E)	f090a69e
𐦟	MEROITIC HIEROGLYPHIC SYMBOL VIDJ-2 (U+1099F)	f090a69f
𐦠	MEROITIC CURSIVE LETTER A (U+109A0)	f090a6a0
𐦡	MEROITIC CURSIVE LETTER E (U+109A1)	f090a6a1
𐦢	MEROITIC CURSIVE LETTER I (U+109A2)	f090a6a2
𐦣	MEROITIC CURSIVE LETTER O (U+109A3)	f090a6a3
𐦤	MEROITIC CURSIVE LETTER YA (U+109A4)	f090a6a4
𐦥	MEROITIC CURSIVE LETTER WA (U+109A5)	f090a6a5
𐦦	MEROITIC CURSIVE LETTER BA (U+109A6)	f090a6a6
𐦧	MEROITIC CURSIVE LETTER PA (U+109A7)	f090a6a7
𐦨	MEROITIC CURSIVE LETTER MA (U+109A8)	f090a6a8
𐦩	MEROITIC CURSIVE LETTER NA (U+109A9)	f090a6a9
𐦪	MEROITIC CURSIVE LETTER NE (U+109AA)	f090a6aa
𐦫	MEROITIC CURSIVE LETTER RA (U+109AB)	f090a6ab
𐦬	MEROITIC CURSIVE LETTER LA (U+109AC)	f090a6ac
𐦭	MEROITIC CURSIVE LETTER KHA (U+109AD)	f090a6ad
𐦮	MEROITIC CURSIVE LETTER HHA (U+109AE)	f090a6ae
𐦯	MEROITIC CURSIVE LETTER SA (U+109AF)	f090a6af
𐦰	MEROITIC CURSIVE LETTER ARCHAIC SA (U+109B0)	f090a6b0
𐦱	MEROITIC CURSIVE LETTER SE (U+109B1)	f090a6b1
𐦲	MEROITIC CURSIVE LETTER KA (U+109B2)	f090a6b2
𐦳	MEROITIC CURSIVE LETTER QA (U+109B3)	f090a6b3
𐦴	MEROITIC CURSIVE LETTER TA (U+109B4)	f090a6b4
𐦵	MEROITIC CURSIVE LETTER TE (U+109B5)	f090a6b5
𐦶	MEROITIC CURSIVE LETTER TO (U+109B6)	f090a6b6
𐦷	MEROITIC CURSIVE LETTER DA (U+109B7)	f090a6b7
𐦼	MEROITIC CURSIVE FRACTION ELEVEN TWELFTHS (U+109BC)	f090a6bc
𐦽	MEROITIC CURSIVE FRACTION ONE HALF (U+109BD)	f090a6bd
𐦾	MEROITIC CURSIVE LOGOGRAM RMT (U+109BE)	f090a6be
𐦿	MEROITIC CURSIVE LOGOGRAM IMN (U+109BF)	f090a6bf
𐧀	MEROITIC CURSIVE NUMBER ONE (U+109C0)	f090a780
𐧁	MEROITIC CURSIVE NUMBER TWO (U+109C1)	f090a781
𐧂	MEROITIC CURSIVE NUMBER THREE (U+109C2)	f090a782
𐧃	MEROITIC CURSIVE NUMBER FOUR (U+109C3)	f090a783
𐧄	MEROITIC CURSIVE NUMBER FIVE (U+109C4)	f090a784
𐧅	MEROITIC CURSIVE NUMBER SIX (U+109C5)	f090a785
𐧆	MEROITIC CURSIVE NUMBER SEVEN (U+109C6)	f090a786
𐧇	MEROITIC CURSIVE NUMBER EIGHT (U+109C7)	f090a787
𐧈	MEROITIC CURSIVE NUMBER NINE (U+109C8)	f090a788
𐧉	MEROITIC CURSIVE NUMBER TEN (U+109C9)	f090a789
𐧊	MEROITIC CURSIVE NUMBER TWENTY (U+109CA)	f090a78a
𐧋	MEROITIC CURSIVE NUMBER THIRTY (U+109CB)	f090a78b
𐧌	MEROITIC CURSIVE NUMBER FORTY (U+109CC)	f090a78c
𐧍	MEROITIC CURSIVE NUMBER FIFTY (U+109CD)	f090a78d
𐧎	MEROITIC CURSIVE NUMBER SIXTY (U+109CE)	f090a78e
𐧏	MEROITIC CURSIVE NUMBER SEVENTY (U+109CF)	f090a78f
𐧒	MEROITIC CURSIVE NUMBER ONE HUNDRED (U+109D2)	f090a792
𐧓	MEROITIC CURSIVE NUMBER TWO HUNDRED (U+109D3)	f090a793
𐧔	MEROITIC CURSIVE NUMBER THREE HUNDRED (U+109D4)	f090a794
𐧕	MEROITIC CURSIVE NUMBER FOUR HUNDRED (U+109D5)	f090a795
𐧖	MEROITIC CURSIVE NUMBER FIVE HUNDRED (U+109D6)	f090a796
𐧗	MEROITIC CURSIVE NUMBER SIX HUNDRED (U+109D7)	f090a797
𐧘	MEROITIC CURSIVE NUMBER SEVEN HUNDRED (U+109D8)	f090a798
𐧙	MEROITIC CURSIVE NUMBER EIGHT HUNDRED (U+109D9)	f090a799
𐧚	MEROITIC CURSIVE NUMBER NINE HUNDRED (U+109DA)	f090a79a
𐧛	MEROITIC CURSIVE NUMBER ONE THOUSAND (U+109DB)	f090a79b
𐧜	MEROITIC CURSIVE NUMBER TWO THOUSAND (U+109DC)	f090a79c
𐧝	MEROITIC CURSIVE NUMBER THREE THOUSAND (U+109DD)	f090a79d
𐧞	MEROITIC CURSIVE NUMBER FOUR THOUSAND (U+109DE)	f090a79e
𐧟	MEROITIC CURSIVE NUMBER FIVE THOUSAND (U+109DF)	f090a79f
𐧠	MEROITIC CURSIVE NUMBER SIX THOUSAND (U+109E0)	f090a7a0
𐧡	MEROITIC CURSIVE NUMBER SEVEN THOUSAND (U+109E1)	f090a7a1
𐧢	MEROITIC CURSIVE NUMBER EIGHT THOUSAND (U+109E2)	f090a7a2
𐧣	MEROITIC CURSIVE NUMBER NINE THOUSAND (U+109E3)	f090a7a3
𐧤	MEROITIC CURSIVE NUMBER TEN THOUSAND (U+109E4)	f090a7a4
𐧥	MEROITIC CURSIVE NUMBER TWENTY THOUSAND (U+109E5)	f090a7a5
𐧦	MEROITIC CURSIVE NUMBER THIRTY THOUSAND (U+109E6)	f090a7a6
𐧧	MEROITIC CURSIVE NUMBER FORTY THOUSAND (U+109E7)	f090a7a7
𐧨	MEROITIC CURSIVE NUMBER FIFTY THOUSAND (U+109E8)	f090a7a8
𐧩	MEROITIC CURSIVE NUMBER SIXTY THOUSAND (U+109E9)	f090a7a9
𐧪	MEROITIC CURSIVE NUMBER SEVENTY THOUSAND (U+109EA)	f090a7aa
𐧫	MEROITIC CURSIVE NUMBER EIGHTY THOUSAND (U+109EB)	f090a7ab
𐧬	MEROITIC CURSIVE NUMBER NINETY THOUSAND (U+109EC)	f090a7ac
𐧭	MEROITIC CURSIVE NUMBER ONE HUNDRED THOUSAND (U+109ED)	f090a7ad
𐧮	MEROITIC CURSIVE NUMBER TWO HUNDRED THOUSAND (U+109EE)	f090a7ae
𐧯	MEROITIC CURSIVE NUMBER THREE HUNDRED THOUSAND (U+109EF)	f090a7af
𐧰	MEROITIC CURSIVE NUMBER FOUR HUNDRED THOUSAND (U+109F0)	f090a7b0
𐧱	MEROITIC CURSIVE NUMBER FIVE HUNDRED THOUSAND (U+109F1)	f090a7b1
𐧲	MEROITIC CURSIVE NUMBER SIX HUNDRED THOUSAND (U+109F2)	f090a7b2
𐧳	MEROITIC CURSIVE NUMBER SEVEN HUNDRED THOUSAND (U+109F3)	f090a7b3
𐧴	MEROITIC CURSIVE NUMBER EIGHT HUNDRED THOUSAND (U+109F4)	f090a7b4
